z,xi_shoes,xi_planck,delta_xi,abs_delta_xi
0.00515,0.005143350493036539,0.005143727837393658,-3.7734435711853087e-07,3.7734435711853087e-07
0.00515,0.005143350493036539,0.005143727837393658,-3.7734435711853087e-07,3.7734435711853087e-07
0.00701,0.0069976762733682234,0.006998374999785042,-6.987264168185556e-07,6.987264168185556e-07
0.0066,0.00658907641780889,0.0065896958798833385,-6.194620744484625e-07,6.194620744484625e-07
0.0066,0.00658907641780889,0.0065896958798833385,-6.194620744484625e-07,6.194620744484625e-07
0.00505,0.0050436063232669045,0.005043969167048285,-3.6284378138011497e-07,3.6284378138011497e-07
0.0054,0.005392688943025266,0.005393103779652709,-4.1483662744333516e-07,4.1483662744333516e-07
0.00603,0.006020882585241398,0.006021399761808153,-5.17176566755366e-07,5.17176566755366e-07
0.00596,0.005951093139013941,0.005951598388902821,-5.052498888800244e-07,5.052498888800244e-07
0.00596,0.005951093139013941,0.005951598388902821,-5.052498888800244e-07,5.052498888800244e-07
0.00596,0.005951093139013941,0.005951598388902821,-5.052498888800244e-07,5.052498888800244e-07
0.00551,0.00550238791529147,0.005502819809994874,-4.318947034037679e-07,4.318947034037679e-07
0.00551,0.00550238791529147,0.005502819809994874,-4.318947034037679e-07,4.318947034037679e-07
0.00635,0.0063398886982167805,0.006340462164975577,-5.73466758796784e-07,5.73466758796784e-07
0.00635,0.0063398886982167805,0.006340462164975577,-5.73466758796784e-07,5.73466758796784e-07
0.00635,0.0063398886982167805,0.006340462164975577,-5.73466758796784e-07,5.73466758796784e-07
0.00635,0.0063398886982167805,0.006340462164975577,-5.73466758796784e-07,5.73466758796784e-07
0.00552,0.005512360247729203,0.0055127937101804225,-4.334624512198834e-07,4.334624512198834e-07
0.00552,0.005512360247729203,0.0055127937101804225,-4.334624512198834e-07,4.334624512198834e-07
0.00552,0.005512360247729203,0.0055127937101804225,-4.334624512198834e-07,4.334624512198834e-07
0.00567,0.0056619392059800745,0.005662396524857153,-4.573188770781028e-07,4.573188770781028e-07
0.00548,0.005472470616568581,0.0054728978250419115,-4.272084733305051e-07,4.272084733305051e-07
0.0055,0.005492415532617991,0.005492845862411215,-4.3032979322402826e-07,4.3032979322402826e-07
0.0055,0.005492415532617991,0.005492845862411215,-4.3032979322402826e-07,4.3032979322402826e-07
0.00801,0.007993906846696368,0.007994818857472911,-9.120107765433344e-07,9.120107765433344e-07
0.00594,0.0059311528450232106,0.005931654712794546,-5.018677713356651e-07,5.018677713356651e-07
0.00592,0.005911212350051817,0.005911710847043771,-4.984969919534857e-07,4.984969919534857e-07
0.00812,0.008103461509415094,0.008104398708797448,-9.371993823538427e-07,9.371993823538427e-07
0.00727,0.007256744592284494,0.00725749605004959,-7.514577650960183e-07,7.514577650960183e-07
0.00727,0.007256744592284494,0.00725749605004959,-7.514577650960183e-07,7.514577650960183e-07
0.00727,0.007256744592284494,0.00725749605004959,-7.514577650960183e-07,7.514577650960183e-07
0.00611,0.006100638937521834,0.006101169914613363,-5.309770915295359e-07,5.309770915295359e-07
0.00703,0.007017605812138377,0.007018308526869717,-7.027147313400789e-07,7.027147313400789e-07
0.00703,0.007017605812138377,0.007018308526869717,-7.027147313400789e-07,7.027147313400789e-07
0.00703,0.007017605812138377,0.007018308526869717,-7.027147313400789e-07,7.027147313400789e-07
0.00668,0.006668809853830781,0.006669444408302673,-6.345544718922361e-07,6.345544718922361e-07
0.00668,0.006668809853830781,0.006669444408302673,-6.345544718922361e-07,6.345544718922361e-07
0.00664,0.006628943537911296,0.006629570523528859,-6.269856175624908e-07,6.269856175624908e-07
0.00664,0.006628943537911296,0.006629570523528859,-6.269856175624908e-07,6.269856175624908e-07
0.00664,0.006628943537911296,0.006629570523528859,-6.269856175624908e-07,6.269856175624908e-07
0.00722,0.007206926401121814,0.007207667569624104,-7.411685022896616e-07,7.411685022896616e-07
0.00722,0.007206926401121814,0.007207667569624104,-7.411685022896616e-07,7.411685022896616e-07
0.00769,0.0076751677720310425,0.007676008453048535,-8.406810174926144e-07,8.406810174926144e-07
0.00769,0.0076751677720310425,0.007676008453048535,-8.406810174926144e-07,8.406810174926144e-07
0.00769,0.0076751677720310425,0.007676008453048535,-8.406810174926144e-07,8.406810174926144e-07
0.00788,0.00786442530851103,0.007865307992198754,-8.826836877234151e-07,8.826836877234151e-07
0.00801,0.007993906846696368,0.007994818857472911,-9.120107765433344e-07,9.120107765433344e-07
0.00801,0.007993906846696368,0.007994818857472911,-9.120107765433344e-07,9.120107765433344e-07
0.00801,0.007993906846696368,0.007994818857472911,-9.120107765433344e-07,9.120107765433344e-07
0.00867,0.00865114352802321,0.008652211802955003,-1.0682749317925122e-06,1.0682749317925122e-06
0.0078,0.007784740137447247,0.007785605011318262,-8.648738710152065e-07,8.648738710152065e-07
0.00758,0.007565589321928433,0.0075664061524526064,-8.168305241735771e-07,8.168305241735771e-07
0.00775,0.007734935271122046,0.007735789105804647,-8.538346826011262e-07,8.538346826011262e-07
0.00775,0.007734935271122046,0.007735789105804647,-8.538346826011262e-07,8.538346826011262e-07
0.00796,0.007944107260939717,0.007945007935495817,-9.006745561000729e-07,9.006745561000729e-07
0.00861,0.008591403793551734,0.00859245735372084,-1.0535601691064045e-06,1.0535601691064045e-06
0.00773,0.007715012972578993,0.007715862411385585,-8.494388065915723e-07,8.494388065915723e-07
0.00812,0.008103461509415094,0.008104398708797448,-9.371993823538427e-07,9.371993823538427e-07
0.00841,0.008392258265431747,0.008393263511418104,-1.0052459863563873e-06,1.0052459863563873e-06
0.00841,0.008392258265431747,0.008393263511418104,-1.0052459863563873e-06,1.0052459863563873e-06
0.00841,0.008392258265431747,0.008393263511418104,-1.0052459863563873e-06,1.0052459863563873e-06
0.00931,0.009288254658329985,0.009289486221453784,-1.2315631237984348e-06,1.2315631237984348e-06
0.00837,0.008352426745175579,0.0083534224640327,-9.957188571215608e-07,9.957188571215608e-07
0.00853,0.00851174799700139,0.008512782095791475,-1.0340987900859383e-06,1.0340987900859383e-06
0.00853,0.00851174799700139,0.008512782095791475,-1.0340987900859383e-06,1.0340987900859383e-06
