bin,z_lo,z_hi,n,H0_shoes,H0_planck,deltaH0
1,0.00505,0.03093,403,75.20132862494195,75.22476304999847,-0.02343442505652149
2,0.03093,0.180755,405,75.5156138118719,75.60966249668556,-0.09404868481365725
3,0.180755,0.333745,404,75.70223245664097,75.96710066742858,-0.26486821078761125
4,0.333745,2.2613,404,76.24033263137589,76.7346804278839,-0.4943477965080092
